10
1,Yilil
2,Tiyaxaxoda
3,Vigahef
4,Mugofa
5,Relupibuk
6,Roowi
7,Azucieuafue
8,Lofauk
9,Muubu
10,Yataca
0.00,23.91,0.00,82.25,72.23,0.00,52.22,50.79,0.00,66.94
23.91,0.00,101.65,56.20,0.00,0.00,82.68,0.00,0.00,96.22
0.00,101.65,0.00,73.75,47.60,35.42,80.34,46.16,75.21,0.00
82.25,56.20,73.75,0.00,107.58,76.87,0.00,32.25,0.00,0.00
72.23,0.00,47.60,107.58,0.00,21.03,43.33,45.97,0.00,0.00
0.00,0.00,35.42,76.87,21.03,0.00,83.41,0.00,91.59,59.31
52.22,82.68,80.34,0.00,43.33,83.41,0.00,104.58,97.17,40.00
50.79,0.00,46.16,32.25,45.97,0.00,104.58,0.00,82.52,86.89
0.00,0.00,75.21,0.00,0.00,91.59,97.17,82.52,0.00,53.29
66.94,96.22,0.00,0.00,0.00,59.31,40.00,86.89,53.29,0.00
